Citation Key,Title,Publishing year,DOI,Tool Name,Category,Type,Description of Tool,Standard,Implementation,Experimentation Version,Last Change,Language,Operational,Input,Output,Way of running,Documentation and Setup Instruction,Special inptus or outputs,Process Models,Notes
Proppa,Monitoring Constraints in Business Processes Using Object-Centric Constraint Graphs,2023,10.1007/978-3-031-27815-0_35,ProPPa,"Conformance, Performance",GUI,"monitoring of constraints using Object-Centric Constraint Graphs
",OCEL 1.0,https://github.com/gyunamister/ProPPa,c#:9bfefa8915075da4bbc7f3a1b2e6a277387b1b7b,20.01.2022,python,No,"OCEL, Constraints","Annotated PetriNets, If constraints exists or not",Web App (manually build with docker),in repository with demo video,"Constraint Graph Builder, OCEL Fields",Petri Net,The python-dev environment is not installable and has no viable build candidate due to dependency rot.
ocpq,OCPQ: Object-Centric Process Querying and Constraints,2025,10.1007/978-3-031-92474-3_23,OCPQ,"Discovery,  Filtering, Inspection, Constraint Checking",GUI,"object-centric process querying and constraint checking
",OCEL 2.0,https://github.com/aarkue/OCPQ,v0.9.2 ,,"rust (backend), typescript (frontend)",Yes,"OCEL, Constraints","OCEL, Constraints, OCEL Graph","Native Applications, (through native installers build with tauri)",https://ocpq.aarkue.eu/,"Constaint Graph Builder, Specialized ocel fields, script windows","OCEL Graph, Query / Constraint Graph",Struggles to load the ContainerLogistics log in sqlite. Installers for Arch had to be fixed.
qrpm,Extending Process Intelligence with Quantity-Related Process Mining,2025,10.1007/978-3-031-82225-4_25,QRPM,"Extraction, Filtering, Discovery, Inspection",GUI,"filtering and extraction of OCELs with quantity states, and discovery of quantity-state-extended process models
",OCEL 2.0 + Extension,rwth-pads/qrpm,c#:3c91e4494989d24717350982ddbd96f2ef693a53,06.09.2024,python,Yes,OCEL with extension,"Plots of item quantaties, QNET",Web App build with Dash,in repository with demo video,"Plots of item Quantity, Filtering Inputs assisted with plots,","Quantity Net (Petri Net added with item nodes),","Depends on PyGraphviz and requires additional setup, which could not be completed."
oxminer,Root Cause Analysis Using Rule Mining on Object-Centric Event Logs,2025,10.1007/978-3-031-82225-4_5,OX Miner,Root Cause Analysis,GUI,analyzes object-centric event logs using rule mining,OCEL 2.0,https://github.com/beneknopp/interaction-pattern-mining,c#:c0bbadadef448e4e900e81ff9238108f4096da1f,31.03.2025,"python (backend), typescript (frontend)",No,OCEL,Directly Follows Graph (Annotated with association rules),Web App (backend and frontend have to be run manually),minimal and incomplete in repository,"Fields populated with OCEL properties, Script Window",Directly Follows Graph,No Python package management is provided.
proact,Operational process monitoring: An object-centric approach,2025,10.1016/j.compind.2024.104170,ProAct,Constraint Checking,GUI,operational process monitoring through creation and assessing operational problem graphs ,OCEL 2.0,https://github.com/gyunamister/proact,c#:28c453662c18d26863697910bbf06e2d4f826d3e,22.07.2024,"python (backend), typescript (frontend)",No,OCEL,,Dockerized web app,in repository,"Gnat-Chart, Constraint Graph Builder, OCEL Fields",Directly Follows Graph,"The Docker script fails to build, seemingly after a refactor in which the default logs were moved. It appears to be Proppa implemented in React."
occnet,Object-Centric Causal Nets,2025,10.1007/978-3-031-94571-7_6,Object-Centric Causal Net Miner,Discovery,CLI / WebApp,mining and visualizing object centric Casual nets,OCEL 2.0,https://github.com/LukasLiss/OCCN-Miner,c#:9c2aaeb2f046b8fa06453d64dd6a4b266d36a7da,02.04.2025,python (logic) / javascript (visualization),No,OCEL,Casual Net,Input through CLI launches a react app to visualize Casual Net,in repository,Casual Net,Casual Net,"There is a version mismatch between OCPA and the code, resulting in import failures and a non-runnable setup."
precfit,Precision and Fitness in Object-Centric Process Mining,2021,10.1109/ICPM53251.2021.9576886,PrecisionFitnessOCPM,Conformance,CLI,calculating precision and fitness on object-centric petri nets,OCEL 1.0,https://github.com/niklasadams/PrecisionFitnessOCPM/tree/main,c#:8ec0fcd8f3489b1aca27471c535aa1c66bf5988a,05.06.2021,python,No,"OCEL, Petri Net",,Script,,,Petri Net,Requires Python 3.7
mmlpm,Preserving complex object-centric graph structures to improve machine learning tasks in process mining,2023,10.1016/j.engappai.2023.106764,PreservingOCStructures,Machine Learning,CLI,preserving object-centric event log structures for machine learning,OCEL 1.0,https://github.com/niklasadams/PreservingOCStructures,34eddbbaf7b4e7fc08bb6279c4e1b6168ae7a01b,,python,Yes,OCEL,,,,,,
alignments,Object-Centric Alignments,2023,10.1007/978-3-031-47262-6_11,object-centric-alignments,Conformance,CLI,alignments on object-centric petri nets,OCEL 1.0,https://github.com/LukasLiss/object-centric-alignments,c#:b298303addd1ecd91f7ef5f1850c560c9e5a8ed6,16.05.2023,python,Yes,OCEL,Alignment costs (visualized pyplot),In Jupyter Notebook,"example provided,  code really unstructured",,Petri Net,"Using pipenv leads to errors, while the requirements.txt works."
omop,Enhancing healthcare process analysis through object-centric process mining: Transforming OMOP common data models into object-centric event logs,2024,10.1016/j.jbi.2024.104682,omop2ocel,Extraction,CLI,"conversion of standardized Observational Medical Outcomes Partnership Common Data Models (OMOP CDM) into Object-Centric Event Logs (OCELs)
",OCEL 2.0,https://github.com/gyunamister/omop2ocel,c#:5f23050712e1932a7b969ca76f8c5db049d02f29,23.08.2024,python,Yes,OMOP CDM,OCEL,CLI,in repository,,,"Pandas is the only listed requirement, but it is not downloadable, and using a newer version results in errors."
graphnn,Detecting Anomalous Events in Object-Centric Business Processes via Graph Neural Networks,2024,10.1007/978-3-031-56107-8_14,DAEiOcBPvGNN,Machine Learning,CLI,detection of anomalies directly on object-centric event graphs with graph neural networks,OCEL 1.0,https://github.com/niro-a/DAEiOcBPvGNN/tree/main,c#:f761dc0e6628e939fb259c2310c54eb33705f469,7.11.2023,python,No,OCEL,,Jupyter experiment notebooks,minimal in repo,,,"There is a package dependency conflict, and no compatible Python version could be found. The project depends on google-auth 2.23.1, which in turn requires urllib3 >= 2.0.5."
ococomot,Object-Centric Conformance Alignments with Synchronization,2024,10.1007/978-3-031-61057-8_1,oCoCoMoT,Conformance,CLI,alignments on object-centric petri nets,OCEL 1.0,https://github.com/bytekid/cocomot/tree/object-centric,c#:386effa51e746f465ca2d020cef71401fc58e75e,01.03.2025,python,No,"OCEL , Petri Net",,CLI,minimal in repo,,Petri Net,"Has Yices as a dependency. The latest available version is 2.6.5, while the older required versions are missing modules. Uses pnml as exchange model"
ocdm,Discovery of Object-Centric Declarative Models,2024,10.1109/ICPM63005.2024.10680674,ObjectCentricDCR,Discovery,CLI,"discovery, replay, and alignment of Object Centric Dynamic Condition Response graps (OC-DCR)
",OCEL 1.0,https://github.com/Axel0087/ObjectCentricDCR/tree/main,c#:ea7721f6c209897e9871d639da8266e0b6a117ca,06.07.2025,typescript,Yes,OCEL,Object Centric DCR graphs,cli,minmal and confusing,Object Centric DCR graphs,OC-DCR,The repository does not include the required log.
silentobjects,Object Synchronizations and Specializations with Silent Objects in Object-Centric Petri Nets,2024,10.1007/978-3-031-70396-6_4,BPM_2024_Silent_Objects,Discovery,CLI,discovery of silent objects and additon to object-centric petri nets,OCEL 1.0,https://github.com/Nik314/BPM_2024_Silent_Objects/tree/main,c#:fbb86fe081f8b28110d554bf38bbf36a90f9fe5b,14.07.2024,python,Yes,OCEL,Number of Silent Objects,CLI,None,,Petri Net,"To run the example, the code has to be modified. Only the number of silent objects is returned, not the actual silent objects."
supervariants,Super Variants,2024,10.1007/978-3-031-70396-6_7,Super Variants,Variant Analysis,CLI,aggregation technique to merge closely related object-centric variants ,OCEL 1.0,https://github.com/EmilieHK/Object-Centric-Super-Variants,c#:9e959b6eff2c98a533a07556fe2a05972db4184a,04.06.2023,python,No,OCEL,Super Variants (Variant Tree),CLI,None,Variant Tree,Variant Tree,"No requirements are specified. After installing gurobipy and ocpa, it runs, but the visualization crashes."
totem,TOTeM: Temporal Object Type Model for Object-Centric Process Mining,2024,10.1007/978-3-031-70418-5_7,TOTeM,Discovery,CLI,"discovery and capture of type-level object relations, covering temporal and cardinality constraints
",OCEL 2.0,https://github.com/LukasLiss/TOTeM-temporal-object-type-model,c#:b298303addd1ecd91f7ef5f1850c560c9e5a8ed6,,python,Yes,OCEL,ToTeM,Jupyter Notebook,"minimal in repo
",,ToTeM,"Because imports are very slow, it initially appears that the code is broken. The result is output as ToTEM through the console."
etherum, Object-Centric Process Mining for Blockchain Applications ,2025,10.18417/emisa.20.2,trace_based_logging,Extraction,CLI,extraction of execution data from Ethereum Decentralized Applications (DApps) and converting it into the OCEL 2.0 format ,OCEL 2.0,https://github.com/rhobeck/trace_based_logging,c#:f639a348ab2c9e7c6852e76a32c67311eb2c5903,20.03.2025,python,No,Ethereum transaction data (via archive node + Etherscan + ABIs) in a config json,OCEL,CLI,in repository,,,"The Python version is not specified, so Python 3.13 does not work. The requirements include pywin32, which is not usable on Linux."
aoe,Framework for Extracting Real-World Object-Centric Event Logs from Game Data,2025,10.1007/978-3-031-82225-4_27,aoe2PM,Extraction,CLI,conversion of Age Of Empire 2 game logs to OCELs,OCEL 2.0,https://github.com/nicoelbert/aoe2PM/tree/v1.0.1,c#:8156f09339f57f00fcd019a1986007234db6539f,22.08.2024,python,Yes,Game Logs,OCEL ,"CLI, Jupyter Notebook",in repository,,,"No requirements or pinned packages are provided, only a pip install command."
textmining,From Words to Workflows: Extracting Object-Centric Event Logs from Textual Data,2025,10.1007/978-3-031-94590-8_5,OCEL-extractor,Extraction,CLI,conversion of unstructured text to OCEL,OCEL 2.0,https://github.com/Alinabuss/OCEL-extractor,c#:0880c266378722e46dbe085b121faaf0cc06f049,29.11.2024,python,Yes,"OCEL, TEXT","TEXT, OCEL",CLI,in repository,Api keys,,No Python version is specified. Python 3.11 is required due to NumPy.
